location,hour,procedure_count
בת ים - גסטרו,09,320
בת ים - גסטרו,08,314
בת ים - גסטרו,10,305
בת ים - גסטרו,07,286
בת ים - גסטרו,11,246
בת ים - גסטרו,16,241
בת ים - גסטרו,15,235
בת ים - גסטרו,17,225
בת ים - גסטרו,18,167
בת ים - גסטרו,12,163
בת ים - גסטרו,14,147
בת ים - גסטרו,13,108
בת ים - גסטרו,19,65
בת ים - גסטרו,06,60
בת ים - גסטרו,20,5
בת ים - גסטרו,05,3
בת ים - עיניים,14,24
בת ים - עיניים,09,21
בת ים - עיניים,10,10
בת ים - עיניים,13,9
בת ים - עיניים,11,9
בת ים - עיניים,12,8
בת ים - עיניים,16,7
בת ים - עיניים,15,6
בת ים - עיניים,17,5
בת ים - עיניים,18,4
בת ים - עיניים,08,4
חדרה,09,415
חדרה,10,394
חדרה,08,378
חדרה,16,332
חדרה,17,328
חדרה,11,286
חדרה,18,231
חדרה,15,213
חדרה,12,176
חדרה,14,150
חדרה,19,145
חדרה,13,120
חדרה,07,77
חדרה,20,37
חדרה,06,13
חדרה,22,4
חדרה,21,4
חדרה,23,1
